as_of_date,reference_month,projected_index,implied_zc_rate,node_status,fit_status,curve_kind,observation_count,model_version,matrix_version,base_month,base_cpi,training_cutoff,source_trade_count,node_trade_count
2026-08-19,2026-08-01,334.96263626996716,0.033911883194950088,shadow_posterior,shadow_posterior,shadow_posterior,13,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-07-01,333.91800000000001,2026-08-19,13,3
2026-08-19,2026-09-01,335.55873774170163,0.033124192554500054,shadow_posterior,shadow_posterior,shadow_posterior,13,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-07-01,333.91800000000001,2026-08-19,13,2
2026-08-19,2026-10-01,335.38745546351271,0.031406028949066522,shadow_posterior,shadow_posterior,shadow_posterior,13,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-07-01,333.91800000000001,2026-08-19,13,1
2026-08-19,2026-11-01,334.83289310597252,0.03304586885793781,shadow_posterior,shadow_posterior,shadow_posterior,13,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-07-01,333.91800000000001,2026-08-19,13,2
2026-08-19,2026-12-01,335.01813218066843,0.033834275092016863,shadow_posterior,shadow_posterior,shadow_posterior,13,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-07-01,333.91800000000001,2026-08-19,13,0
2026-08-19,2027-01-01,335.69724351406302,0.032114309870694191,shadow_posterior,shadow_posterior,shadow_posterior,13,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-07-01,333.91800000000001,2026-08-19,13,0
2026-08-19,2027-02-01,337.02171790051852,0.031325544013704798,shadow_posterior,shadow_posterior,shadow_posterior,13,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-07-01,333.91800000000001,2026-08-19,13,0
2026-08-19,2027-03-01,338.83712551031471,0.02611685642392847,shadow_posterior,shadow_posterior,shadow_posterior,13,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-07-01,333.91800000000001,2026-08-19,13,0
2026-08-19,2027-04-01,340.05246920282696,0.02111725783084184,shadow_posterior,shadow_posterior,shadow_posterior,13,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-07-01,333.91800000000001,2026-08-19,13,0
2026-08-19,2027-05-01,340.78333688009985,0.016890326477442263,shadow_posterior,shadow_posterior,shadow_posterior,13,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-07-01,333.91800000000001,2026-08-19,13,5
2026-08-19,2027-06-01,341.11548166695212,0.021450632626701216,shadow_posterior,shadow_posterior,shadow_posterior,13,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-07-01,333.91800000000001,2026-08-19,13,5
2026-08-19,2027-07-01,341.11440572937317,0.021551416004447654,shadow_posterior,shadow_posterior,shadow_posterior,13,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-07-01,333.91800000000001,2026-08-19,13,0
