as_of_date,reference_month,projected_index,implied_zc_rate,node_status,fit_status,curve_kind,observation_count,model_version,matrix_version,base_month,base_cpi,training_cutoff,source_trade_count
2026-08-11,2026-07-01,334.06007214766976,0.034088036909901254,shadow_posterior,shadow_posterior,shadow_posterior,22,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-08-11,22
2026-08-11,2026-08-01,334.99711347598861,0.034018302207535767,shadow_posterior,shadow_posterior,shadow_posterior,22,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-08-11,22
2026-08-11,2026-09-01,335.33005615695293,0.032420123635938713,shadow_posterior,shadow_posterior,shadow_posterior,22,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-08-11,22
2026-08-11,2026-10-01,335.3600761628532,0.029963010782586341,shadow_posterior,shadow_posterior,shadow_posterior,22,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-08-11,22
2026-08-11,2026-11-01,335.14868570051408,0.034020170492944146,shadow_posterior,shadow_posterior,shadow_posterior,22,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-08-11,22
2026-08-11,2026-12-01,334.77668431505271,0.033089189811120079,shadow_posterior,shadow_posterior,shadow_posterior,22,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-08-11,22
2026-08-11,2027-01-01,335.82357406281903,0.032502718085727356,shadow_posterior,shadow_posterior,shadow_posterior,22,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-08-11,22
2026-08-11,2027-02-01,337.94488259955955,0.034150535059930931,shadow_posterior,shadow_posterior,shadow_posterior,22,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-08-11,22
2026-08-11,2027-03-01,339.49034965588851,0.028095046699822435,shadow_posterior,shadow_posterior,shadow_posterior,22,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-08-11,22
2026-08-11,2027-04-01,340.57007414986555,0.022671533691266399,shadow_posterior,shadow_posterior,shadow_posterior,22,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-08-11,22
2026-08-11,2027-05-01,341.2656467421088,0.01832952898520479,shadow_posterior,shadow_posterior,shadow_posterior,22,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-08-11,22
2026-08-11,2027-06-01,341.63932863715092,0.023019262160882237,shadow_posterior,shadow_posterior,shadow_posterior,22,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-08-11,22
