as_of_date,reference_month,implied_zc_rate,node_status,fit_status,model_version,matrix_version,base_month,training_cutoff,source_trade_count
2026-04-20,2026-04-01,0.037079754983712299,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-03-01,2026-04-20,0
2026-04-20,2026-05-01,0.037344656494486372,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-03-01,2026-04-20,0
2026-04-20,2026-06-01,0.036362114452770378,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-03-01,2026-04-20,0
2026-04-20,2026-07-01,0.034799782075728647,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-03-01,2026-04-20,0
2026-04-20,2026-08-01,0.032514754179321814,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-03-01,2026-04-20,0
2026-04-20,2026-09-01,0.031219211822659965,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-03-01,2026-04-20,0
2026-04-20,2026-10-01,0.028887851500595918,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-03-01,2026-04-20,0
2026-04-20,2026-11-01,0.032142218053695881,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-03-01,2026-04-20,0
2026-04-20,2026-12-01,0.03208107290760176,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-03-01,2026-04-20,0
2026-04-20,2027-01-01,0.032153530185825119,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-03-01,2026-04-20,0
2026-04-20,2027-02-01,0.031044876600823113,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-03-01,2026-04-20,0
2026-04-20,2027-03-01,0.024871825155278415,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-03-01,2026-04-20,0
