as_of_date,reference_month,implied_zc_rate,node_status,fit_status,model_version,matrix_version,base_month,training_cutoff,source_trade_count
2026-05-28,2026-05-01,0.043037344656494669,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-04-01,2026-05-28,0
2026-05-28,2026-06-01,0.040454363670747728,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-04-01,2026-05-28,0
2026-05-28,2026-07-01,0.039071593075951538,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-04-01,2026-05-28,0
2026-05-28,2026-08-01,0.037576857545003284,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-04-01,2026-05-28,0
2026-05-28,2026-09-01,0.036730295566502535,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-04-01,2026-05-28,0
2026-05-28,2026-10-01,0.033863220353558265,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-04-01,2026-05-28,0
2026-05-28,2026-11-01,0.0371094834661021,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-04-01,2026-05-28,0
2026-05-28,2026-12-01,0.037419689311040782,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-04-01,2026-05-28,0
2026-05-28,2027-01-01,0.037410992092285378,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-04-01,2026-05-28,0
2026-05-28,2027-02-01,0.036384778983123311,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-04-01,2026-05-28,0
2026-05-28,2027-03-01,0.030198689936495438,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-04-01,2026-05-28,0
2026-05-28,2027-04-01,0.025394871178908263,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-04-01,2026-05-28,0
