as_of_date,reference_month,projected_index,implied_zc_rate,node_status,fit_status,curve_kind,observation_count,model_version,matrix_version,base_month,base_cpi,training_cutoff,source_trade_count,node_trade_count
2026-07-17,2026-07-01,334.03893414607512,0.034022603904296345,shadow_posterior,shadow_posterior,shadow_posterior,8,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-17,8,0
2026-07-17,2026-08-01,335.00886314732247,0.034054569311684935,shadow_posterior,shadow_posterior,shadow_posterior,8,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-17,8,0
2026-07-17,2026-09-01,335.03997471241229,0.031527015740185682,shadow_posterior,shadow_posterior,shadow_posterior,8,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-17,8,0
2026-07-17,2026-10-01,334.60121876287053,0.028988141040579674,shadow_posterior,shadow_posterior,shadow_posterior,8,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-17,8,2
2026-07-17,2026-11-01,335.98517032542054,0.036600941390650732,shadow_posterior,shadow_posterior,shadow_posterior,8,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-17,8,2
2026-07-17,2026-12-01,338.60016509962435,0.044888089946812482,shadow_posterior,shadow_posterior,shadow_posterior,8,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-17,8,0
2026-07-17,2027-01-01,339.64787454942422,0.044260679563612904,shadow_posterior,shadow_posterior,shadow_posterior,8,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-17,8,0
2026-07-17,2027-02-01,339.50927735327986,0.038937764442308564,shadow_posterior,shadow_posterior,shadow_posterior,8,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-17,8,0
2026-07-17,2027-03-01,339.74682239217776,0.028871735492478345,shadow_posterior,shadow_posterior,shadow_posterior,8,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-17,8,0
2026-07-17,2027-04-01,340.28591295100711,0.021818248006147067,shadow_posterior,shadow_posterior,shadow_posterior,8,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-17,8,6
2026-07-17,2027-05-01,341.07303226521901,0.017754771427860971,shadow_posterior,shadow_posterior,shadow_posterior,8,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-17,8,6
2026-07-17,2027-06-01,342.06856376401419,0.024304581987873108,shadow_posterior,shadow_posterior,shadow_posterior,8,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-17,8,0
