as_of_date,reference_month,projected_index,implied_zc_rate,node_status,fit_status,curve_kind,observation_count,model_version,matrix_version,base_month,base_cpi,training_cutoff,source_trade_count,node_trade_count
2026-07-31,2026-07-01,334.04268993693529,0.034034230012057964,shadow_posterior,shadow_posterior,shadow_posterior,21,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-31,21,0
2026-07-31,2026-08-01,335.09168791109659,0.034310220235747702,shadow_posterior,shadow_posterior,shadow_posterior,21,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-31,21,0
2026-07-31,2026-09-01,335.33227117777568,0.032426943281329113,shadow_posterior,shadow_posterior,shadow_posterior,21,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-31,21,0
2026-07-31,2026-10-01,335.16761719871471,0.030729967551978765,shadow_posterior,shadow_posterior,shadow_posterior,21,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-31,21,0
2026-07-31,2026-11-01,335.23327707686838,0.034281156715274985,shadow_posterior,shadow_posterior,shadow_posterior,21,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-31,21,0
2026-07-31,2026-12-01,335.45255647498635,0.035174867383171771,shadow_posterior,shadow_posterior,shadow_posterior,21,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-31,21,0
2026-07-31,2027-01-01,336.49908179805936,0.034579593048034596,shadow_posterior,shadow_posterior,shadow_posterior,21,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-31,21,0
2026-07-31,2027-02-01,338.17247547130347,0.034846995643323497,shadow_posterior,shadow_posterior,shadow_posterior,21,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-31,21,1
2026-07-31,2027-03-01,339.5063718880412,0.02814356760043113,shadow_posterior,shadow_posterior,shadow_posterior,21,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-31,21,3
2026-07-31,2027-04-01,340.56643436120191,0.022660604051414124,shadow_posterior,shadow_posterior,shadow_posterior,21,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-31,21,8
2026-07-31,2027-05-01,341.4009134813906,0.018733162096873812,shadow_posterior,shadow_posterior,shadow_posterior,21,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-31,21,15
2026-07-31,2027-06-01,342.04634298706316,0.0242380431530973,shadow_posterior,shadow_posterior,shadow_posterior,21,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-31,21,12
