as_of_date,reference_month,projected_index,implied_zc_rate,node_status,fit_status,curve_kind,observation_count,model_version,matrix_version,base_month,base_cpi,training_cutoff,source_trade_count,node_trade_count
2026-07-16,2026-07-01,334.03894579377487,0.034022639959928158,shadow_posterior,shadow_posterior,shadow_posterior,16,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-16,16,5
2026-07-16,2026-08-01,335.00880244127961,0.034054381933475319,shadow_posterior,shadow_posterior,shadow_posterior,16,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-16,16,1
2026-07-16,2026-09-01,335.04049365141566,0.031528613458791988,shadow_posterior,shadow_posterior,shadow_posterior,16,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-16,16,0
2026-07-16,2026-10-01,334.60264151145572,0.028992516372586152,shadow_posterior,shadow_posterior,shadow_posterior,16,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-16,16,1
2026-07-16,2026-11-01,335.8393210545604,0.036150958757999785,shadow_posterior,shadow_posterior,shadow_posterior,16,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-16,16,1
2026-07-16,2026-12-01,338.20534212378374,0.043669703579600094,shadow_posterior,shadow_posterior,shadow_posterior,16,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-16,16,0
2026-07-16,2027-01-01,339.28727823095545,0.043152012073578216,shadow_posterior,shadow_posterior,shadow_posterior,16,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-16,16,0
2026-07-16,2027-02-01,339.39726082908794,0.038594980886784702,shadow_posterior,shadow_posterior,shadow_posterior,16,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-16,16,0
2026-07-16,2027-03-01,339.75173889156667,0.02888662436538425,shadow_posterior,shadow_posterior,shadow_posterior,16,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-16,16,1
2026-07-16,2027-04-01,340.30248615264429,0.02186801439146091,shadow_posterior,shadow_posterior,shadow_posterior,16,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-16,16,9
2026-07-16,2027-05-01,341.01475104695533,0.017580861495496647,shadow_posterior,shadow_posterior,shadow_posterior,16,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-16,16,7
2026-07-16,2027-06-01,341.86269888507985,0.023688131483206698,shadow_posterior,shadow_posterior,shadow_posterior,16,uscpi_six_driver_v1,uscpi_monthly_bucket_matrix_v2,2026-06-01,333.952,2026-07-16,16,0
