as_of_date,reference_month,implied_zc_rate,node_status,fit_status,model_version,matrix_version,base_month,training_cutoff,source_trade_count
2026-05-22,2026-05-01,0.043379528097926778,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-04-01,2026-05-22,0
2026-05-22,2026-06-01,0.042066461847526604,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-04-01,2026-05-22,0
2026-05-22,2026-07-01,0.04074317129343008,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-04-01,2026-05-22,0
2026-05-22,2026-08-01,0.038626317998864179,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-04-01,2026-05-22,0
2026-05-22,2026-09-01,0.037469211822660053,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-04-01,2026-05-22,0
2026-05-22,2026-10-01,0.034416039114998576,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-04-01,2026-05-22,0
2026-05-22,2026-11-01,0.037541419588920322,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-04-01,2026-05-22,0
2026-05-22,2026-12-01,0.03766656174588201,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-04-01,2026-05-22,0
2026-05-22,2027-01-01,0.037564719048614581,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-04-01,2026-05-22,0
2026-05-22,2027-02-01,0.036525544318129599,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-04-01,2026-05-22,0
2026-05-22,2027-03-01,0.030247143510400809,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-04-01,2026-05-22,0
2026-05-22,2027-04-01,0.025385862710948226,broker_marks,unknown,uscpi_zc_factor_v1,legacy_barclays_curve_archive,2026-04-01,2026-05-22,0
